Designator,Mid X,Mid Y,Rotation,Layer
A1,-3.0675,-142.6725,0.0,top
ALT1,108.85125,-168.86625,0.0,top
B1,70.75125,-159.34125,0.0,top
BT1,-57.0,-138.0,270.0,bottom
C1,32.65125,-161.7225,0.0,top
CAPS1,-24.49875,-152.1975,0.0,top
CTRL1,127.90125,-180.7725,0.0,top
D1,-8.7225,-176.23125,0.0,top
D10,47.40625,-180.6875,0.0,top
D11,2.6475,-176.23125,0.0,top
D12,2.6475,-180.48125,0.0,top
D13,2.6475,-184.73125,0.0,top
D14,47.90625,-173.1875,0.0,top
D15,47.70625,-176.7875,0.0,top
D16,35.0325,-140.29125,0.0,top
D17,36.20625,-184.6875,0.0,top
D18,-41.1675,-162.86,90.0,top
D19,-36.9175,-162.86,90.0,top
D2,-8.7225,-180.48125,0.0,top
D20,-31.6425,-107.07875,90.0,top
D21,47.70625,-184.9875,0.0,top
D22,14.0175,-176.23125,0.0,top
D23,14.0175,-180.48125,0.0,top
D24,14.0175,-184.73125,0.0,top
D25,58.80625,-173.3875,0.0,top
D26,58.70625,-177.6875,0.0,top
D27,58.70625,-181.6875,0.0,top
D28,-41.1675,-151.49,90.0,top
D29,-36.9175,-151.49,90.0,top
D3,-8.7225,-184.73125,0.0,top
D30,-31.6425,-95.70875,90.0,top
D31,71.48625,-185.5875,0.0,top
D32,25.10625,-176.2875,0.0,top
D33,24.80625,-180.4875,0.0,top
D34,70.80625,-173.3875,0.0,top
D35,70.80625,-177.6875,0.0,top
D36,71.00625,-181.4875,0.0,top
D37,-38.78625,-129.11875,0.0,top
D38,-38.78625,-133.36875,0.0,top
D39,-38.78625,-137.61875,0.0,top
D4,36.30625,-176.3875,0.0,top
D40,-38.78625,-141.86875,0.0,top
D5,36.50625,-180.5875,0.0,top
D6,24.70625,-184.6875,0.0,top
D7,-41.1675,-174.23,90.0,top
D8,-36.9175,-174.23,90.0,top
D9,-31.6425,-118.44875,90.0,top
E1,39.795,-118.86,0.0,top
ESC1,-17.355,-95.0475,0.0,top
F1,54.0825,-137.91,0.0,top
G1,73.1325,-140.29125,0.0,top
K1,4.07625,-85.5225,0.0,top
K2,23.12625,-80.76,0.0,top
K3,42.17625,-80.76,0.0,top
K4,61.22625,-80.76,0.0,top
K5,80.27625,-83.14125,0.0,top
K6,99.32625,-87.90375,0.0,top
NN1,1.695,-104.5725,0.0,top
NN2,23.12625,-99.81,0.0,top
NN3,42.17625,-99.81,0.0,top
NN4,61.22625,-99.81,0.0,top
NN5,80.27625,-102.19125,0.0,top
NN6,99.32625,-106.95375,0.0,top
Q1,-0.68625,-123.6225,0.0,top
R1,58.845,-118.86,0.0,top
R14,-37.87375,-123.9,0.0,top
R2,-37.87375,-120.95,0.0,top
S1,15.9825,-142.6725,0.0,top
SHIFT1,-24.49875,-171.2475,0.0,top
SPACE1,89.80125,-183.15375,0.0,top
TABS1,-22.1175,-133.1475,0.0,top
TT1,77.895,-121.24125,0.0,top
U1,-44.99125,-109.26045,0.0,top
V1,51.70125,-159.34125,0.0,top
W1,20.745,-121.24125,0.0,top
WIN1,118.37625,-199.8225,0.0,top
X1,13.60125,-161.7225,0.0,top
X2,92.1825,-145.05375,0.0,top
X3,89.80125,-164.10375,0.0,top
Y1,96.945,-126.00375,0.0,top
Z1,-5.44875,-161.7225,0.0,top
`1,-19.73625,-114.0975,0.0,top
