Designator,Mid X,Mid Y,Rotation,Layer
*1,204.90125,-57.2375,0.0,top
+1,128.70125,-140.58125,0.0,top
-2,204.90125,-140.58125,0.0,top
.2,147.75125,-152.4875,0.0,top
/1,178.7075,-76.2875,0.0,top
BT3,166.95,-204.39,180.0,top
CTRLT1,178.7075,-95.3375,0.0,top
CTRLW1,154.895,-95.3375,0.0,top
D100,182.30125,-47.33375,0.0,top
D101,143.86125,-43.83375,0.0,top
D102,182.11125,-39.33375,0.0,top
D103,193.55125,-32.52375,90.0,top
D104,189.30125,-44.14375,90.0,top
D105,155.30125,-33.52375,90.0,top
D106,131.30125,-116.33375,90.0,top
D107,143.86125,-35.83375,0.0,top
D108,182.11125,-35.33375,0.0,top
D109,207.30125,-127.33375,90.0,top
D80,193.30125,-43.52375,90.0,top
D81,151.30125,-33.52375,90.0,top
D82,198.30125,-115.605,90.0,top
D83,143.86125,-39.83375,0.0,top
D84,143.86125,-47.83375,0.0,top
D85,198.30125,-127.33375,90.0,top
D86,202.55125,-127.33375,90.0,top
D87,207.30125,-115.33375,90.0,top
D88,135.30125,-116.52375,90.0,top
D89,127.30125,-116.52375,90.0,top
D90,182.30125,-43.33375,0.0,top
D91,127.05125,-127.33375,90.0,top
D92,131.30125,-127.33375,90.0,top
D93,135.55125,-127.33375,90.0,top
D94,155.30125,-44.14375,90.0,top
D95,144.11125,-32.33375,0.0,top
D96,182.11125,-31.33375,0.0,top
D97,203.30125,-115.52375,90.0,top
D98,189.30125,-32.33375,90.0,top
D99,151.30125,-44.14375,90.0,top
DELETE2,197.7575,-95.3375,0.0,top
END1,197.7575,-76.2875,0.0,top
ENTER2,135.845,-95.3375,0.0,top
HOME1,135.845,-76.2875,0.0,top
INSTERT1,154.895,-76.2875,0.0,top
N0\1,166.80125,-38.1875,0.0,top
N10,185.85125,-114.3875,0.0,top
N11,185.85125,-133.4375,0.0,top
N2,109.65125,-54.85625,0.0,top
N3,147.75125,-114.3875,0.0,top
N4,147.75125,-133.4375,0.0,top
N5,166.80125,-152.4875,0.0,top
N6,223.95125,-54.85625,0.0,top
N7,166.80125,-114.3875,0.0,top
N8,166.80125,-133.4375,0.0,top
N9,128.70125,-38.1875,0.0,top
NUMLOCK1,128.70125,-57.2375,0.0,top
PAUSE1,166.80125,-57.2375,0.0,top
PGDN1,204.90125,-38.1875,0.0,top
PRTSCRN1,147.75125,-57.2375,0.0,top
R5,182.00125,-21.79625,0.0,top
R6,182.00125,-18.84625,0.0,top
SCRLCK1,185.85125,-57.2375,0.0,top
U4,167.83545,-19.36125,90.0,top
VOLDOWN1,185.85125,-152.4875,0.0,top
VOLUP1,166.80125,-171.5375,0.0,top
