Designator,Mid X,Mid Y,Rotation,Layer
'1,335.07,-142.6725,0.0,top
",1",280.30125,-159.34125,0.0,top
-1,308.87625,-99.81,0.0,top
.1,299.35125,-161.7225,0.0,top
//1,318.40125,-161.7225,0.0,top
;1,316.02,-142.6725,0.0,top
=1,330.3075,-104.5725,0.0,top
BACK1,356.50125,-173.62875,0.0,top
BT2,378.0,-129.0,90.0,bottom
D41,257.53625,-173.62875,0.0,top
D42,257.53625,-177.87875,0.0,top
D43,257.53625,-182.12875,0.0,top
D44,257.53625,-186.37875,0.0,top
D45,291.67625,-175.42875,0.0,top
D46,291.67625,-179.67875,0.0,top
D47,303.07625,-175.42875,0.0,top
D48,303.07625,-179.67875,0.0,top
D49,325.86625,-188.22875,180.0,top
D50,314.26625,-188.22875,180.0,top
D51,268.90625,-173.62875,0.0,top
D52,268.90625,-177.87875,0.0,top
D53,268.90625,-182.12875,0.0,top
D54,268.90625,-186.37875,0.0,top
D55,303.17625,-187.27875,0.0,top
D56,314.48625,-175.82875,0.0,top
D57,314.48625,-180.07875,0.0,top
D58,291.58625,-183.42875,0.0,top
D59,342.21375,-83.8025,90.0,top
D60,346.745,-83.6225,90.0,top
D61,280.27625,-173.62875,0.0,top
D62,280.27625,-177.87875,0.0,top
D63,280.27625,-182.12875,0.0,top
D64,280.27625,-186.37875,0.0,top
D65,325.89625,-176.02875,0.0,top
D66,325.89625,-180.27875,0.0,top
D67,314.88625,-184.42875,0.0,top
D68,303.08625,-183.52875,0.0,top
D69,279.67625,-190.12875,180.0,top
D70,337.06625,-188.32875,180.0,top
D71,257.87625,-190.22875,0.0,top
D72,344.47625,-179.01875,90.0,top
D73,325.86625,-184.42875,0.0,top
D74,268.96625,-190.52875,0.0,top
D75,337.26625,-176.02875,0.0,top
D76,337.26625,-180.27875,0.0,top
D77,337.26625,-184.52875,0.0,top
D78,291.66625,-187.32875,0.0,top
D79,351.73875,-83.8025,90.0,top
DELETE1,351.73875,-116.47875,0.0,top
DOWN1,212.67375,-199.8225,0.0,top
ENTER1,356.50125,-154.57875,0.0,top
F10\1,289.82625,-80.76,0.0,top
F2,232.67625,-87.90375,0.0,top
F3,251.72625,-83.14125,0.0,top
F4,270.77625,-80.76,0.0,top
F5,327.92625,-85.5225,0.0,top
H9,239.82,-145.05375,0.0,top
I1,254.1075,-121.24125,0.0,top
J1,258.87,-140.29125,0.0,top
K7,277.92,-137.91,0.0,top
KF1,308.87625,-80.76,0.0,top
L1,296.97,-140.29125,0.0,top
LEFT1,204.10125,-180.7725,0.0,top
M1,261.25125,-159.34125,0.0,top
N1,242.20125,-164.10375,0.0,top
NN10,289.82625,-99.81,0.0,top
NN7,232.67625,-106.95375,0.0,top
NN8,251.72625,-102.19125,0.0,top
NN9,270.77625,-99.81,0.0,top
O1,273.1575,-118.86,0.0,top
P1,292.2075,-118.86,0.0,top
R3,363.88875,-112.87875,0.0,top
R4,363.88875,-109.92875,0.0,top
RIGHT1,242.20125,-183.15375,0.0,top
U2,369.85,-96.19145,0.0,top
U3,235.0575,-126.00375,0.0,top
UP1,223.15125,-168.86625,0.0,top
X4,349.3575,-97.42875,0.0,top
ZSHIFT1,337.45125,-161.7225,0.0,top
[1,311.2575,-121.24125,0.0,top
\1,354.12,-135.52875,0.0,top
]1,330.3075,-123.6225,0.0,top
