Designator,Mid X,Mid Y,Rotation,Layer
'1,335.07,-142.6725,0.0,top
*1,204.90125,-57.2375,0.0,top
+1,128.70125,-140.58125,0.0,top
",1",280.30125,-159.34125,0.0,top
-1,308.87625,-99.81,0.0,top
-2,204.90125,-140.58125,0.0,top
.1,299.35125,-161.7225,0.0,top
.2,147.75125,-152.4875,0.0,top
//1,318.40125,-161.7225,0.0,top
/1,178.7075,-76.2875,0.0,top
;1,316.02,-142.6725,0.0,top
=1,330.3075,-104.5725,0.0,top
A1,-3.0675,-142.6725,0.0,top
ALT1,108.85125,-168.86625,0.0,top
B1,70.75125,-159.34125,0.0,top
BACK1,356.50125,-173.62875,0.0,top
BT1,-57.0,-138.0,270.0,bottom
BT2,378.0,-129.0,90.0,bottom
BT3,166.95,-204.39,180.0,top
C1,32.65125,-161.7225,0.0,top
CAPS1,-24.49875,-152.1975,0.0,top
CTRL1,127.90125,-180.7725,0.0,top
CTRLT1,178.7075,-95.3375,0.0,top
CTRLW1,154.895,-95.3375,0.0,top
D1,-8.7225,-176.23125,0.0,top
D10,47.40625,-180.6875,0.0,top
D100,182.30125,-47.33375,0.0,top
D101,143.86125,-43.83375,0.0,top
D102,182.11125,-39.33375,0.0,top
D103,193.55125,-32.52375,90.0,top
D104,189.30125,-44.14375,90.0,top
D105,155.30125,-33.52375,90.0,top
D106,131.30125,-116.33375,90.0,top
D107,143.86125,-35.83375,0.0,top
D108,182.11125,-35.33375,0.0,top
D109,207.30125,-127.33375,90.0,top
D11,2.6475,-176.23125,0.0,top
D12,2.6475,-180.48125,0.0,top
D13,2.6475,-184.73125,0.0,top
D14,47.90625,-173.1875,0.0,top
D15,47.70625,-176.7875,0.0,top
D16,35.0325,-140.29125,0.0,top
D17,36.20625,-184.6875,0.0,top
D18,-41.1675,-162.86,90.0,top
D19,-36.9175,-162.86,90.0,top
D2,-8.7225,-180.48125,0.0,top
D20,-31.6425,-107.07875,90.0,top
D21,47.70625,-184.9875,0.0,top
D22,14.0175,-176.23125,0.0,top
D23,14.0175,-180.48125,0.0,top
D24,14.0175,-184.73125,0.0,top
D25,58.80625,-173.3875,0.0,top
D26,58.70625,-177.6875,0.0,top
D27,58.70625,-181.6875,0.0,top
D28,-41.1675,-151.49,90.0,top
D29,-36.9175,-151.49,90.0,top
D3,-8.7225,-184.73125,0.0,top
D30,-31.6425,-95.70875,90.0,top
D31,71.48625,-185.5875,0.0,top
D32,25.10625,-176.2875,0.0,top
D33,24.80625,-180.4875,0.0,top
D34,70.80625,-173.3875,0.0,top
D35,70.80625,-177.6875,0.0,top
D36,71.00625,-181.4875,0.0,top
D37,-38.78625,-129.11875,0.0,top
D38,-38.78625,-133.36875,0.0,top
D39,-38.78625,-137.61875,0.0,top
D4,36.30625,-176.3875,0.0,top
D40,-38.78625,-141.86875,0.0,top
D41,257.53625,-173.62875,0.0,top
D42,257.53625,-177.87875,0.0,top
D43,257.53625,-182.12875,0.0,top
D44,257.53625,-186.37875,0.0,top
D45,291.67625,-175.42875,0.0,top
D46,291.67625,-179.67875,0.0,top
D47,303.07625,-175.42875,0.0,top
D48,303.07625,-179.67875,0.0,top
D49,325.86625,-188.22875,180.0,top
D5,36.50625,-180.5875,0.0,top
D50,314.26625,-188.22875,180.0,top
D51,268.90625,-173.62875,0.0,top
D52,268.90625,-177.87875,0.0,top
D53,268.90625,-182.12875,0.0,top
D54,268.90625,-186.37875,0.0,top
D55,303.17625,-187.27875,0.0,top
D56,314.48625,-175.82875,0.0,top
D57,314.48625,-180.07875,0.0,top
D58,291.58625,-183.42875,0.0,top
D59,342.21375,-83.8025,90.0,top
D6,24.70625,-184.6875,0.0,top
D60,346.745,-83.6225,90.0,top
D61,280.27625,-173.62875,0.0,top
D62,280.27625,-177.87875,0.0,top
D63,280.27625,-182.12875,0.0,top
D64,280.27625,-186.37875,0.0,top
D65,325.89625,-176.02875,0.0,top
D66,325.89625,-180.27875,0.0,top
D67,314.88625,-184.42875,0.0,top
D68,303.08625,-183.52875,0.0,top
D69,279.67625,-190.12875,180.0,top
D7,-41.1675,-174.23,90.0,top
D70,337.06625,-188.32875,180.0,top
D71,257.87625,-190.22875,0.0,top
D72,344.47625,-179.01875,90.0,top
D73,325.86625,-184.42875,0.0,top
D74,268.96625,-190.52875,0.0,top
D75,337.26625,-176.02875,0.0,top
D76,337.26625,-180.27875,0.0,top
D77,337.26625,-184.52875,0.0,top
D78,291.66625,-187.32875,0.0,top
D79,351.73875,-83.8025,90.0,top
D8,-36.9175,-174.23,90.0,top
D80,193.30125,-43.52375,90.0,top
D81,151.30125,-33.52375,90.0,top
D82,198.30125,-115.605,90.0,top
D83,143.86125,-39.83375,0.0,top
D84,143.86125,-47.83375,0.0,top
D85,198.30125,-127.33375,90.0,top
D86,202.55125,-127.33375,90.0,top
D87,207.30125,-115.33375,90.0,top
D88,135.30125,-116.52375,90.0,top
D89,127.30125,-116.52375,90.0,top
D9,-31.6425,-118.44875,90.0,top
D90,182.30125,-43.33375,0.0,top
D91,127.05125,-127.33375,90.0,top
D92,131.30125,-127.33375,90.0,top
D93,135.55125,-127.33375,90.0,top
D94,155.30125,-44.14375,90.0,top
D95,144.11125,-32.33375,0.0,top
D96,182.11125,-31.33375,0.0,top
D97,203.30125,-115.52375,90.0,top
D98,189.30125,-32.33375,90.0,top
D99,151.30125,-44.14375,90.0,top
DELETE1,351.73875,-116.47875,0.0,top
DELETE2,197.7575,-95.3375,0.0,top
DOWN1,212.67375,-199.8225,0.0,top
E1,39.795,-118.86,0.0,top
END1,197.7575,-76.2875,0.0,top
ENTER1,356.50125,-154.57875,0.0,top
ENTER2,135.845,-95.3375,0.0,top
ESC1,-17.355,-95.0475,0.0,top
F1,54.0825,-137.91,0.0,top
F10\1,289.82625,-80.76,0.0,top
F2,232.67625,-87.90375,0.0,top
F3,251.72625,-83.14125,0.0,top
F4,270.77625,-80.76,0.0,top
F5,327.92625,-85.5225,0.0,top
G1,73.1325,-140.29125,0.0,top
H1,219.0,-91.0,90.0,top
H10,115.02,-89.79,90.0,top
H11,114.99,-114.69,90.0,top
H12,191.5,-198.25,90.0,top
H13,115.0,-141.0,90.0,top
H2,205.0,-164.0,45.0,top
H3,101.88,-73.39,346.0,top
H4,145.5,-197.75,90.0,top
H5,219.5,-144.25,90.0,top
H6,128.0,-162.0,135.0,top
H7,218.5,-113.25,270.0,top
H8,229.0,-74.0,29.0,top
H9,239.82,-145.05375,0.0,top
HOME1,135.845,-76.2875,0.0,top
I1,254.1075,-121.24125,0.0,top
INSTERT1,154.895,-76.2875,0.0,top
J1,258.87,-140.29125,0.0,top
K1,4.07625,-85.5225,0.0,top
K2,23.12625,-80.76,0.0,top
K3,42.17625,-80.76,0.0,top
K4,61.22625,-80.76,0.0,top
K5,80.27625,-83.14125,0.0,top
K6,99.32625,-87.90375,0.0,top
K7,277.92,-137.91,0.0,top
